id,seq,name,gender,ageBand,ageBandLabel,ethnicity_group,descent,age,build,hair,skin,outfit
"kid-f-white_european-3","45","Chiara","female","kids","Kids (6–8)","White / European","Italian","8","sturdy, solid build for their age","two braided pigtails","fair porcelain skin","a black crew-neck t-shirt"
"kid-f-white_european-4","47","Poppy","female","junior","Junior (9–12)","White / European","British","10","petite and small for their age","short rounded bob","fair porcelain skin","a beige crew-neck t-shirt"
"kid-f-white_european-5","49","Johanna","female","junior","Junior (9–12)","White / European","German","12","tall for their age with long legs","natural voluminous curls","fair porcelain skin","a plain white crew-neck t-shirt"
"kid-m-black_african-1","32","Emeka","male","kids","Kids (6–8)","Black / African","Nigerian","6","slight, naturally slim build for their age","short neat crop","rich deep-brown skin","a soft cream fine-knit crew sweater"
"kid-m-black_african-2","34","Yonas","male","kids","Kids (6–8)","Black / African","Ethiopian","7","average healthy build for their age","tousled medium hair","rich deep-brown skin","a charcoal crew-neck t-shirt"
"kid-m-black_african-3","36","Kofi","male","kids","Kids (6–8)","Black / African","Ghanaian","8","sturdy, solid build for their age","short fade","rich deep-brown skin","a light grey crew-neck t-shirt"
"kid-m-black_african-4","38","Juma","male","junior","Junior (9–12)","Black / African","Kenyan","10","petite and small for their age","natural short curls","rich deep-brown skin","a plain off-white crew-neck sweater"
"kid-m-black_african-5","40","Elijah","male","junior","Junior (9–12)","Black / African","African-American","12","tall for their age with long legs","straight hair with a soft fringe","rich deep-brown skin","a soft cream fine-knit crew sweater"
"kid-m-east_asian-1","02","Minjun","male","kids","Kids (6–8)","East Asian","Korean","6","slight, naturally slim build for their age","short neat crop","fair-to-warm ivory skin","a charcoal crew-neck t-shirt"
"kid-m-east_asian-2","04","Souta","male","kids","Kids (6–8)","East Asian","Japanese","7","average healthy build for their age","tousled medium hair","fair-to-warm ivory skin","a light grey crew-neck t-shirt"
"kid-m-east_asian-3","06","Haoran","male","kids","Kids (6–8)","East Asian","Chinese","8","sturdy, solid build for their age","short fade","fair-to-warm ivory skin","a plain off-white crew-neck sweater"
"kid-m-east_asian-4","08","Temujin","male","junior","Junior (9–12)","East Asian","Mongolian","10","petite and small for their age","natural short curls","fair-to-warm ivory skin","a soft cream fine-knit crew sweater"
"kid-m-east_asian-5","10","Yuhan","male","junior","Junior (9–12)","East Asian","Taiwanese","12","tall for their age with long legs","straight hair with a soft fringe","fair-to-warm ivory skin","a charcoal crew-neck t-shirt"
"kid-m-hispanic_latino-1","52","Emiliano","male","kids","Kids (6–8)","Hispanic / Latino","Mexican","6","slight, naturally slim build for their age","short neat crop","warm olive-tan skin","a light grey crew-neck t-shirt"
"kid-m-hispanic_latino-2","54","Pedro","male","kids","Kids (6–8)","Hispanic / Latino","Brazilian","7","average healthy build for their age","tousled medium hair","warm olive-tan skin","a plain off-white crew-neck sweater"
"kid-m-hispanic_latino-3","56","Nicolas","male","kids","Kids (6–8)","Hispanic / Latino","Colombian","8","sturdy, solid build for their age","short fade","warm olive-tan skin","a soft cream fine-knit crew sweater"
"kid-m-hispanic_latino-4","58","Benicio","male","junior","Junior (9–12)","Hispanic / Latino","Argentine","10","petite and small for their age","natural short curls","warm olive-tan skin","a charcoal crew-neck t-shirt"
"kid-m-hispanic_latino-5","60","Julian","male","junior","Junior (9–12)","Hispanic / Latino","Puerto Rican","12","tall for their age with long legs","straight hair with a soft fringe","warm olive-tan skin","a light grey crew-neck t-shirt"
"kid-m-mena-1","62","Rami","male","kids","Kids (6–8)","Middle Eastern / North African","Lebanese","6","slight, naturally slim build for their age","short neat crop","warm light-olive skin","a plain off-white crew-neck sweater"
"kid-m-mena-2","64","Kian","male","kids","Kids (6–8)","Middle Eastern / North African","Iranian","7","average healthy build for their age","tousled medium hair","warm light-olive skin","a soft cream fine-knit crew sweater"
"kid-m-mena-3","66","Deniz","male","kids","Kids (6–8)","Middle Eastern / North African","Turkish","8","sturdy, solid build for their age","short fade","warm light-olive skin","a charcoal crew-neck t-shirt"
"kid-m-mena-4","68","Adil","male","junior","Junior (9–12)","Middle Eastern / North African","Moroccan","10","petite and small for their age","natural short curls","warm light-olive skin","a light grey crew-neck t-shirt"
"kid-m-mena-5","70","Hassan","male","junior","Junior (9–12)","Middle Eastern / North African","Egyptian","12","tall for their age with long legs","straight hair with a soft fringe","warm light-olive skin","a plain off-white crew-neck sweater"
"kid-m-mixed-1","72","Theo","male","kids","Kids (6–8)","Mixed / Multiracial","Afro-European","6","slight, naturally slim build for their age","short neat crop","warm caramel skin","a soft cream fine-knit crew sweater"
"kid-m-mixed-2","74","Ren","male","kids","Kids (6–8)","Mixed / Multiracial","Eurasian","7","average healthy build for their age","tousled medium hair","warm caramel skin","a charcoal crew-neck t-shirt"
"kid-m-mixed-3","76","Malik","male","kids","Kids (6–8)","Mixed / Multiracial","Afro-Asian","8","sturdy, solid build for their age","short fade","warm caramel skin","a light grey crew-neck t-shirt"
"kid-m-mixed-4","78","Levi","male","junior","Junior (9–12)","Mixed / Multiracial","Latino-Asian","10","petite and small for their age","natural short curls","warm caramel skin","a plain off-white crew-neck sweater"
"kid-m-mixed-5","80","Yusuf","male","junior","Junior (9–12)","Mixed / Multiracial","MENA-European","12","tall for their age with long legs","straight hair with a soft fringe","warm caramel skin","a soft cream fine-knit crew sweater"
"kid-m-south_asian-1","22","Aarav","male","kids","Kids (6–8)","South Asian","Indian","6","slight, naturally slim build for their age","short neat crop","warm deep-brown skin","a plain off-white crew-neck sweater"
"kid-m-south_asian-2","24","Ali","male","kids","Kids (6–8)","South Asian","Pakistani","7","average healthy build for their age","tousled medium hair","warm deep-brown skin","a soft cream fine-knit crew sweater"
"kid-m-south_asian-3","26","Sahan","male","kids","Kids (6–8)","South Asian","Sri Lankan","8","sturdy, solid build for their age","short fade","warm deep-brown skin","a charcoal crew-neck t-shirt"
"kid-m-south_asian-4","28","Tanvir","male","junior","Junior (9–12)","South Asian","Bangladeshi","10","petite and small for their age","natural short curls","warm deep-brown skin","a light grey crew-neck t-shirt"
"kid-m-south_asian-5","30","Prakash","male","junior","Junior (9–12)","South Asian","Nepali","12","tall for their age with long legs","straight hair with a soft fringe","warm deep-brown skin","a plain off-white crew-neck sweater"
"kid-m-southeast_asian-1","12","Andres","male","kids","Kids (6–8)","Southeast Asian","Filipino","6","slight, naturally slim build for their age","short neat crop","warm golden-tan skin","a light grey crew-neck t-shirt"
"kid-m-southeast_asian-2","14","Nattapong","male","kids","Kids (6–8)","Southeast Asian","Thai","7","average healthy build for their age","tousled medium hair","warm golden-tan skin","a plain off-white crew-neck sweater"
"kid-m-southeast_asian-3","16","Rizky","male","kids","Kids (6–8)","Southeast Asian","Indonesian","8","sturdy, solid build for their age","short fade","warm golden-tan skin","a soft cream fine-knit crew sweater"
"kid-m-southeast_asian-4","18","Duc","male","junior","Junior (9–12)","Southeast Asian","Vietnamese","10","petite and small for their age","natural short curls","warm golden-tan skin","a charcoal crew-neck t-shirt"
"kid-m-southeast_asian-5","20","Aiman","male","junior","Junior (9–12)","Southeast Asian","Malaysian","12","tall for their age with long legs","straight hair with a soft fringe","warm golden-tan skin","a light grey crew-neck t-shirt"
"kid-m-white_european-1","42","Emil","male","kids","Kids (6–8)","White / European","Scandinavian","6","slight, naturally slim build for their age","short neat crop","fair porcelain skin","a charcoal crew-neck t-shirt"
"kid-m-white_european-2","44","Milan","male","kids","Kids (6–8)","White / European","Slavic","7","average healthy build for their age","tousled medium hair","fair porcelain skin","a light grey crew-neck t-shirt"
"kid-m-white_european-3","46","Luca","male","kids","Kids (6–8)","White / European","Italian","8","sturdy, solid build for their age","short fade","fair porcelain skin","a plain off-white crew-neck sweater"
"kid-m-white_european-4","48","Harry","male","junior","Junior (9–12)","White / European","British","10","petite and small for their age","natural short curls","fair porcelain skin","a soft cream fine-knit crew sweater"
"kid-m-white_european-5","50","Finn","male","junior","Junior (9–12)","White / European","German","12","tall for their age with long legs","straight hair with a soft fringe","fair porcelain skin","a charcoal crew-neck t-shirt"
